ETF,Year,Ann_Return,Ann_Volatility,Sharpe,Class,Trading_Days,Period,Date_Range
XLP,2024,0.10705,0.097962,1.0928,US Consumer Staples,250,Full Year,2024-01-02 ~ 2024-12-30
XLRE,2022,-0.257352,0.255649,-1.0067,US Real Estate,250,Full Year,2022-01-03 ~ 2022-12-30
XLRE,2023,0.120878,0.20239,0.5973,US Real Estate,249,Full Year,2023-01-03 ~ 2023-12-29
XLRE,2024,0.033401,0.162692,0.2053,US Real Estate,250,Full Year,2024-01-02 ~ 2024-12-30
XLU,2022,0.024791,0.213758,0.116,US Utilities,250,Full Year,2022-01-03 ~ 2022-12-30
XLU,2023,-0.07258,0.177636,-0.4086,US Utilities,249,Full Year,2023-01-03 ~ 2023-12-29
XLU,2024,0.218499,0.154822,1.4113,US Utilities,250,Full Year,2024-01-02 ~ 2024-12-30
XLV,2022,-0.010695,0.190148,-0.0562,US Healthcare,250,Full Year,2022-01-03 ~ 2022-12-30
XLV,2023,0.023892,0.115475,0.2069,US Healthcare,249,Full Year,2023-01-03 ~ 2023-12-29
XLV,2024,0.004644,0.108425,0.0428,US Healthcare,250,Full Year,2024-01-02 ~ 2024-12-30
XLY,2022,-0.382878,0.342145,-1.1191,US Consumer Discretionary,250,Full Year,2022-01-03 ~ 2022-12-30
XLY,2023,0.410532,0.200077,2.0519,US Consumer Discretionary,249,Full Year,2023-01-03 ~ 2023-12-29
XLY,2024,0.289243,0.186697,1.5493,US Consumer Discretionary,250,Full Year,2024-01-02 ~ 2024-12-30
